dataset,metric,model_a,model_b,n,mean_delta,median_delta,ci_lo,ci_hi,d_z,wins_a,losses_a,ties,p_wilcoxon_raw,p_wilcoxon_holm
chexpert_plus_valid,bleu,qwen35-0_8b,qwen35-2b,200,-0.008227,-0.007677,-0.015217,-0.001583,-0.159892,89,110,1,0.014776,0.325081
chexpert_plus_valid,bleu,qwen35-0_8b,qwen35-4b,200,-0.011188,-0.007473,-0.018789,-0.004548,-0.22048,84,115,1,0.001574,0.039351
chexpert_plus_valid,bleu,qwen35-0_8b,qwen35-9b,200,-0.003637,-0.006013,-0.010393,0.002849,-0.074964,91,107,2,0.294397,1.0
chexpert_plus_valid,bleu,qwen35-0_8b,qwen35-27b,200,-0.006784,-0.002619,-0.014926,0.000833,-0.120572,96,103,1,0.12168,1.0
chexpert_plus_valid,bleu,qwen35-0_8b,qwen35-35b-a3b,200,-0.01179,-0.011933,-0.019942,-0.00438,-0.205935,85,115,0,0.004751,0.114015
chexpert_plus_valid,bleu,qwen35-0_8b,qwen35-122b-a10b,200,-0.015788,-0.013978,-0.023456,-0.008877,-0.286459,76,123,1,0.000244,0.006834
chexpert_plus_valid,bleu,qwen35-0_8b,qwen35-397b-a17b,200,-0.01003,-0.01197,-0.018539,-0.001701,-0.164164,86,114,0,0.017692,0.371523
chexpert_plus_valid,bleu,qwen35-2b,qwen35-4b,200,-0.002961,0.000106,-0.010546,0.00401,-0.054237,100,100,0,0.914492,1.0
chexpert_plus_valid,bleu,qwen35-2b,qwen35-9b,200,0.00459,0.006759,-0.003044,0.011439,0.085676,110,90,0,0.069523,1.0
chexpert_plus_valid,bleu,qwen35-2b,qwen35-27b,200,0.001443,0.005559,-0.007659,0.008852,0.02492,109,90,1,0.217559,1.0
chexpert_plus_valid,bleu,qwen35-2b,qwen35-35b-a3b,200,-0.003563,0.0,-0.011988,0.004559,-0.059311,99,99,2,0.435547,1.0
chexpert_plus_valid,bleu,qwen35-2b,qwen35-122b-a10b,200,-0.007561,-0.003713,-0.015528,-0.000547,-0.139471,94,105,1,0.124368,1.0
chexpert_plus_valid,bleu,qwen35-2b,qwen35-397b-a17b,200,-0.001803,0.004005,-0.010928,0.005962,-0.029394,104,95,1,0.985288,1.0
chexpert_plus_valid,bleu,qwen35-4b,qwen35-9b,200,0.007551,0.008693,0.000987,0.014642,0.149464,116,83,1,0.019567,0.391342
chexpert_plus_valid,bleu,qwen35-4b,qwen35-27b,200,0.004404,0.006427,-0.002536,0.011236,0.086072,111,88,1,0.136877,1.0
chexpert_plus_valid,bleu,qwen35-4b,qwen35-35b-a3b,200,-0.000602,-0.001191,-0.008263,0.006928,-0.010738,99,101,0,0.765916,1.0
chexpert_plus_valid,bleu,qwen35-4b,qwen35-122b-a10b,200,-0.0046,0.000735,-0.011892,0.002382,-0.089893,101,96,3,0.342538,1.0
chexpert_plus_valid,bleu,qwen35-4b,qwen35-397b-a17b,200,0.001158,0.00052,-0.006479,0.008399,0.0207,102,96,2,0.993576,1.0
chexpert_plus_valid,bleu,qwen35-9b,qwen35-27b,200,-0.003147,0.004553,-0.009616,0.002628,-0.06798,109,91,0,0.9708,1.0
chexpert_plus_valid,bleu,qwen35-9b,qwen35-35b-a3b,200,-0.008153,-0.007309,-0.01588,-0.000681,-0.139992,89,111,0,0.020432,0.391342
chexpert_plus_valid,bleu,qwen35-9b,qwen35-122b-a10b,200,-0.012151,-0.010197,-0.019409,-0.005216,-0.232259,83,117,0,0.000379,0.01023
