model,dataset,mode,metric,mean,std,n_valid,n_total
qwen35-0_8b,chexpert_plus_valid,nothinking,bleu,0.1772797617193983,0.07913662890475279,200,200
qwen35-0_8b,chexpert_plus_valid,nothinking,rouge,0.2516490415639677,0.08428666746311388,200,200
qwen35-0_8b,chexpert_plus_valid,nothinking,meteor,0.20945390762453117,0.08273899791288596,200,200
qwen35-0_8b,chexpert_plus_valid,nothinking,bertscore,0.8583829161524773,0.016152853278970467,200,200
qwen35-0_8b,chexpert_plus_valid,nothinking,radgraph,0.16877672454044118,0.10383289440741067,200,200
qwen35-0_8b,chexpert_plus_valid,nothinking,green,0.2763694083694084,0.24800316761554012,200,200
qwen35-0_8b,chexpert_plus_valid,nothinking,crimson,-0.074471,0.42836497806328167,200,200
qwen35-0_8b,chexpert_plus_valid,nothinking,discern_score,11.785,6.6126705694674905,200,200
qwen35-0_8b,chexpert_plus_valid,nothinking,mini_discern_score,4.455,3.198299642468647,200,200
qwen35-0_8b,mimic_cxr_test,nothinking,bleu,0.22260749730749102,0.07935995440947122,3131,3131
qwen35-0_8b,mimic_cxr_test,nothinking,rouge,0.2824789963723221,0.07966480678770843,3131,3131
qwen35-0_8b,mimic_cxr_test,nothinking,meteor,0.23456155251776797,0.07631614656976807,3131,3131
qwen35-0_8b,mimic_cxr_test,nothinking,bertscore,0.8645708736844887,0.015594960346950817,3131,3131
qwen35-0_8b,mimic_cxr_test,nothinking,radgraph,0.18349816298152585,0.09673019260958174,3131,3131
qwen35-0_8b,mimic_cxr_test,nothinking,green,0.2945083081926225,0.2050357436004802,3131,3131
qwen35-0_8b,mimic_cxr_test,nothinking,crimson,-0.05611524936061381,0.4288034768512349,3128,3131
qwen35-0_8b,mimic_cxr_test,nothinking,discern_score,13.272436921111465,6.196221957897487,3131,3131
qwen35-0_8b,mimic_cxr_test,nothinking,mini_discern_score,4.9607154263813475,3.2955661954669404,3131,3131
qwen35-122b-a10b,chexpert_plus_valid,nothinking,bleu,0.19306822397079257,0.08540198637680047,200,200
qwen35-122b-a10b,chexpert_plus_valid,nothinking,rouge,0.2737130408183967,0.09107371909956562,200,200
qwen35-122b-a10b,chexpert_plus_valid,nothinking,meteor,0.24335327239901153,0.09582239018636059,200,200
qwen35-122b-a10b,chexpert_plus_valid,nothinking,bertscore,0.8631215891242028,0.016555859680593706,200,200
qwen35-122b-a10b,chexpert_plus_valid,nothinking,radgraph,0.19594296733389746,0.11116487998246996,200,200
qwen35-122b-a10b,chexpert_plus_valid,nothinking,green,0.3606468253968254,0.2543307095353058,200,200
qwen35-122b-a10b,chexpert_plus_valid,nothinking,crimson,0.1278725,0.4152936081843106,200,200
qwen35-122b-a10b,chexpert_plus_valid,nothinking,discern_score,9.57,5.8623318460632055,200,200
qwen35-122b-a10b,chexpert_plus_valid,nothinking,mini_discern_score,3.675,2.9687442144878826,200,200
qwen35-122b-a10b,mimic_cxr_test,nothinking,bleu,0.23628427072366615,0.09099600881422544,3031,3031
qwen35-122b-a10b,mimic_cxr_test,nothinking,rouge,0.29981283308573503,0.09049534903207024,3031,3031
qwen35-122b-a10b,mimic_cxr_test,nothinking,meteor,0.2655894468163938,0.08748836543795534,3031,3031
qwen35-122b-a10b,mimic_cxr_test,nothinking,bertscore,0.8690839322515542,0.017630635470415594,3031,3031
qwen35-122b-a10b,mimic_cxr_test,nothinking,radgraph,0.21077214966955468,0.11051129152677912,3031,3031
qwen35-122b-a10b,mimic_cxr_test,nothinking,green,0.3679047651457747,0.21289408431093004,3031,3031
qwen35-122b-a10b,mimic_cxr_test,nothinking,crimson,0.10317908281095348,0.42922937006148926,3031,3031
qwen35-122b-a10b,mimic_cxr_test,nothinking,discern_score,11.040250742329265,5.63525821224065,3031,3031
qwen35-122b-a10b,mimic_cxr_test,nothinking,mini_discern_score,4.07291322995711,2.929810713548053,3031,3031
qwen35-27b,chexpert_plus_valid,nothinking,bleu,0.18406376152631745,0.08381827377435887,200,200
qwen35-27b,chexpert_plus_valid,nothinking,rouge,0.2608652444232566,0.08923681052023706,200,200
qwen35-27b,chexpert_plus_valid,nothinking,meteor,0.2426410714287349,0.08945238890439267,200,200
qwen35-27b,chexpert_plus_valid,nothinking,bertscore,0.859919847548008,0.015243425072214262,200,200
qwen35-27b,chexpert_plus_valid,nothinking,radgraph,0.19476035762828225,0.10019223578615817,200,200
qwen35-27b,chexpert_plus_valid,nothinking,green,0.3927523448773449,0.27185765071888757,200,200
qwen35-27b,chexpert_plus_valid,nothinking,crimson,0.1247815,0.4488467529636144,200,200
qwen35-27b,chexpert_plus_valid,nothinking,discern_score,9.845,5.848246311897535,200,200
qwen35-27b,chexpert_plus_valid,nothinking,mini_discern_score,3.405,2.897057075463385,200,200
qwen35-27b,mimic_cxr_test,nothinking,bleu,0.22824854514308063,0.0861916976734577,3031,3031
qwen35-27b,mimic_cxr_test,nothinking,rouge,0.2925173863081453,0.08544597530150812,3031,3031
qwen35-27b,mimic_cxr_test,nothinking,meteor,0.26914007143907737,0.08086835199208398,3031,3031
qwen35-27b,mimic_cxr_test,nothinking,bertscore,0.8659617223585451,0.016432039552150002,3031,3031
qwen35-27b,mimic_cxr_test,nothinking,radgraph,0.204863590728872,0.1063178203692764,3031,3031
qwen35-27b,mimic_cxr_test,nothinking,green,0.36851041018807434,0.22182254359600592,3031,3031
qwen35-27b,mimic_cxr_test,nothinking,crimson,0.0952799736060706,0.4410228945264644,3031,3031
qwen35-27b,mimic_cxr_test,nothinking,discern_score,11.273837017485977,5.7820912565299825,3031,3031
qwen35-27b,mimic_cxr_test,nothinking,mini_discern_score,4.1794787198944245,2.9618232931636124,3031,3031
qwen35-2b,chexpert_plus_valid,nothinking,bleu,0.1855067844501679,0.07676486542776408,200,200
qwen35-2b,chexpert_plus_valid,nothinking,rouge,0.2566611201421698,0.08613453695008735,200,200
qwen35-2b,chexpert_plus_valid,nothinking,meteor,0.22053193290765327,0.08789897425957345,200,200
qwen35-2b,chexpert_plus_valid,nothinking,bertscore,0.8607797980308532,0.015661024090673353,200,200
qwen35-2b,chexpert_plus_valid,nothinking,radgraph,0.19085619960311387,0.09888604173294645,200,200
qwen35-2b,chexpert_plus_valid,nothinking,green,0.3179882756132756,0.23474254734500338,200,200
qwen35-2b,chexpert_plus_valid,nothinking,crimson,0.034335,0.429965778321529,200,200
qwen35-2b,chexpert_plus_valid,nothinking,discern_score,10.725,5.98149365390103,200,200
qwen35-2b,chexpert_plus_valid,nothinking,mini_discern_score,3.805,3.2340796769380806,200,200
qwen35-2b,mimic_cxr_test,nothinking,bleu,0.22872268768015222,0.08557177251904348,3131,3131
qwen35-2b,mimic_cxr_test,nothinking,rouge,0.2864008944922508,0.08580129037751456,3131,3131
qwen35-2b,mimic_cxr_test,nothinking,meteor,0.24682473378022396,0.08069119239631477,3131,3131
qwen35-2b,mimic_cxr_test,nothinking,bertscore,0.865423097430765,0.01644184249953042,3131,3131
qwen35-2b,mimic_cxr_test,nothinking,radgraph,0.19491516003581238,0.1031440482247458,3131,3131
qwen35-2b,mimic_cxr_test,nothinking,green,0.31242407562273417,0.1932162924871795,3131,3131
qwen35-2b,mimic_cxr_test,nothinking,crimson,0.008500351662404093,0.43419477768933806,3128,3131
qwen35-2b,mimic_cxr_test,nothinking,discern_score,12.869690194825933,6.192462531522462,3131,3131
qwen35-2b,mimic_cxr_test,nothinking,mini_discern_score,4.843181092302778,3.3026275683241253,3131,3131
qwen35-35b-a3b,chexpert_plus_valid,nothinking,bleu,0.18906967547902628,0.08373740169169412,200,200
qwen35-35b-a3b,chexpert_plus_valid,nothinking,rouge,0.263020594231835,0.08871930158628445,200,200
qwen35-35b-a3b,chexpert_plus_valid,nothinking,meteor,0.22482029281275856,0.09102473085210032,200,200
qwen35-35b-a3b,chexpert_plus_valid,nothinking,bertscore,0.8621911197900772,0.01600649707869824,200,200
qwen35-35b-a3b,chexpert_plus_valid,nothinking,radgraph,0.1963249576810526,0.11205103479905128,200,200
qwen35-35b-a3b,chexpert_plus_valid,nothinking,green,0.32984920634920634,0.26637371812200655,200,200
qwen35-35b-a3b,chexpert_plus_valid,nothinking,crimson,0.11132500000000001,0.4405268584776654,200,200
qwen35-35b-a3b,chexpert_plus_valid,nothinking,discern_score,9.505,5.501938899905329,200,200
qwen35-35b-a3b,chexpert_plus_valid,nothinking,mini_discern_score,3.39,2.8913143192088806,200,200
qwen35-35b-a3b,mimic_cxr_test,nothinking,bleu,0.24085402319748897,0.0908722263550241,3031,3031
qwen35-35b-a3b,mimic_cxr_test,nothinking,rouge,0.30493747734757626,0.0910835744278324,3031,3031
qwen35-35b-a3b,mimic_cxr_test,nothinking,meteor,0.26133475589901783,0.08726026546995859,3031,3031
qwen35-35b-a3b,mimic_cxr_test,nothinking,bertscore,0.8699186291485406,0.017257658301508966,3031,3031
qwen35-35b-a3b,mimic_cxr_test,nothinking,radgraph,0.2086108802691901,0.11049513425299841,3031,3031
qwen35-35b-a3b,mimic_cxr_test,nothinking,green,0.35434783150058635,0.21346047383969238,3031,3031
qwen35-35b-a3b,mimic_cxr_test,nothinking,crimson,0.11168310231023103,0.4258808663532523,3030,3031
qwen35-35b-a3b,mimic_cxr_test,nothinking,discern_score,10.918838667106565,5.565986825705762,3031,3031
qwen35-35b-a3b,mimic_cxr_test,nothinking,mini_discern_score,4.0874298911250415,2.973692744867096,3031,3031
qwen35-397b-a17b,chexpert_plus_valid,nothinking,bleu,0.1873097352161101,0.08485583920806458,200,200
qwen35-397b-a17b,chexpert_plus_valid,nothinking,rouge,0.2629489796130543,0.08514550250520433,200,200
qwen35-397b-a17b,chexpert_plus_valid,nothinking,meteor,0.22228458334970636,0.08352926705611939,200,200
qwen35-397b-a17b,chexpert_plus_valid,nothinking,bertscore,0.8628491535782814,0.016136869070339257,200,200
qwen35-397b-a17b,chexpert_plus_valid,nothinking,radgraph,0.19214091863876775,0.104245804749944,200,200
